addon_key,addon_name,category,repo_count,best_repo_stars,freshness_max,opportunity_score,repos,description_source,description_confidence
gilbox,Gilbox,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
giltracker,Giltracker,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/giltracker/README.md,medium
gmtools,Gmtools,automation,1,2,49,4.83,SQLCommit/GMTools,https://github.com/SQLCommit/GMTools/blob/HEAD/README.md,medium
healbot,Healbot,automation,4,69,1490,1.57,Icydeath/ffxi-addons; Lygre/addons; lorand-ffxi/HealBot; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/HealBot/readme.md,medium
helper,Helper,automation,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/Helper/Helper.lua,high
helpers,helpers,general_qol,1,17,1073,4.0,ZeromusXYZ/PacketViewerLogViewer,https://github.com/ZeromusXYZ/PacketViewerLogViewer,medium
highlight,Highlight,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/highlight/highlight.lua,high
htmb,Htmb,general_qol,2,79,957,2.66,Icydeath/ffxi-addons; Ivaar/Windower-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/htmb/htmb.lua,high
icons,icons,general_qol,1,19,1911,4.0,AkadenTK/enemybar2,https://github.com/AkadenTK/enemybar2,medium
impalert,Impalert,general_qol,1,18,3350,3.43,Lygre/addons,heuristic,low
imrecast,Imrecast,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/addons/imrecast/imrecast.lua,high
indinope,Indinope,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/indinope/indinope.lua,high
inforeplacer,Inforeplacer,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/InfoReplacer/InfoReplacer.lua,high
informer,Informer,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/Informer/Informer.lua,high
